match_number,round_number,date,location,home_team,away_team,result
45,3,25/09/2022 17:00,MetLife Stadium,New York Jets,Cincinnati Bengals,
46,3,25/09/2022 17:00,Nissan Stadium,Tennessee Titans,Las Vegas Raiders,
47,3,25/09/2022 17:00,FedExField,Washington Commanders,Philadelphia Eagles,
38,3,25/09/2022 20:05,SoFi Stadium,Los Angeles Chargers,Jacksonville Jaguars,
35,3,25/09/2022 20:25,State Farm Stadium,Arizona Cardinals,Los Angeles Rams,
36,3,25/09/2022 20:25,Lumen Field,Seattle Seahawks,Atlanta Falcons,
37,3,25/09/2022 20:25,Raymond James Stadium,Tampa Bay Buccaneers,Green Bay Packers,
34,3,26/09/2022 00:20,Empower Field at Mile High,Denver Broncos,San Francisco 49ers,
33,3,27/09/2022 00:15,MetLife Stadium,New York Giants,Dallas Cowboys,
64,4,30/09/2022 00:15,Paul Brown Stadium,Cincinnati Bengals,Miami Dolphins,
63,4,02/10/2022 13:30,Tottenham Hotspur Stadium,New Orleans Saints,Minnesota Vikings,
54,4,02/10/2022 17:00,Mercedes-Benz Stadium,Atlanta Falcons,Cleveland Browns,
55,4,02/10/2022 17:00,M&T Bank Stadium,Baltimore Ravens,Buffalo Bills,
56,4,02/10/2022 17:00,AT&T Stadium,Dallas Cowboys,Washington Commanders,
57,4,02/10/2022 17:00,Ford Field,Detroit Lions,Seattle Seahawks,
58,4,02/10/2022 17:00,NRG Stadium,Houston Texans,Los Angeles Chargers,
59,4,02/10/2022 17:00,Lucas Oil Stadium,Indianapolis Colts,Tennessee Titans,
60,4,02/10/2022 17:00,MetLife Stadium,New York Giants,Chicago Bears,
61,4,02/10/2022 17:00,Lincoln Financial Field,Philadelphia Eagles,Jacksonville Jaguars,
62,4,02/10/2022 17:00,Acrisure Stadium,Pittsburgh Steelers,New York Jets,
53,4,02/10/2022 20:05,Bank of America Stadium,Carolina Panthers,Arizona Cardinals,
51,4,02/10/2022 20:25,Lambeau Field,Green Bay Packers,New England Patriots,
52,4,02/10/2022 20:25,Allegiant Stadium,Las Vegas Raiders,Denver Broncos,
50,4,03/10/2022 00:20,Raymond James Stadium,Tampa Bay Buccaneers,Kansas City Chiefs,
49,4,04/10/2022 00:15,Levi's Stadium,San Francisco 49ers,Los Angeles Rams,
80,5,07/10/2022 00:15,Empower Field at Mile High,Denver Broncos,Indianapolis Colts,
79,5,09/10/2022 13:30,Tottenham Hotspur Stadium,Green Bay Packers,New York Giants,
70,5,09/10/2022 17:00,Highmark Stadium,Buffalo Bills,Pittsburgh Steelers,
71,5,09/10/2022 17:00,FirstEnergy Stadium,Cleveland Browns,Los Angeles Chargers,
72,5,09/10/2022 17:00,TIAA Bank Field,Jacksonville Jaguars,Houston Texans,
73,5,09/10/2022 17:00,U.S. Bank Stadium,Minnesota Vikings,Chicago Bears,
74,5,09/10/2022 17:00,Gillette Stadium,New England Patriots,Detroit Lions,
75,5,09/10/2022 17:00,Caesars Superdome,New Orleans Saints,Seattle Seahawks,
76,5,09/10/2022 17:00,MetLife Stadium,New York Jets,Miami Dolphins,
77,5,09/10/2022 17:00,Raymond James Stadium,Tampa Bay Buccaneers,Atlanta Falcons,
78,5,09/10/2022 17:00,FedExField,Washington Commanders,Tennessee Titans,
69,5,09/10/2022 20:05,Bank of America Stadium,Carolina Panthers,San Francisco 49ers,
67,5,09/10/2022 20:25,State Farm Stadium,Arizona Cardinals,Philadelphia Eagles,
68,5,09/10/2022 20:25,SoFi Stadium,Los Angeles Rams,Dallas Cowboys,
66,5,10/10/2022 00:20,M&T Bank Stadium,Baltimore Ravens,Cincinnati Bengals,
65,5,11/10/2022 00:15,GEHA Field at Arrowhead Stadium,Kansas City Chiefs,Las Vegas Raiders,
94,6,14/10/2022 00:15,Soldier Field,Chicago Bears,Washington Commanders,
86,6,16/10/2022 17:00,Mercedes-Benz Stadium,Atlanta Falcons,San Francisco 49ers,
87,6,16/10/2022 17:00,FirstEnergy Stadium,Cleveland Browns,New England Patriots,
88,6,16/10/2022 17:00,Lambeau Field,Green Bay Packers,New York Jets,
89,6,16/10/2022 17:00,Lucas Oil Stadium,Indianapolis Colts,Jacksonville Jaguars,
90,6,16/10/2022 17:00,Hard Rock Stadium,Miami Dolphins,Minnesota Vikings,
91,6,16/10/2022 17:00,Caesars Superdome,New Orleans Saints,Cincinnati Bengals,
92,6,16/10/2022 17:00,MetLife Stadium,New York Giants,Baltimore Ravens,
93,6,16/10/2022 17:00,Acrisure Stadium,Pittsburgh Steelers,Tampa Bay Buccaneers,
84,6,16/10/2022 20:05,SoFi Stadium,Los Angeles Rams,Carolina Panthers,
85,6,16/10/2022 20:05,Lumen Field,Seattle Seahawks,Arizona Cardinals,
83,6,16/10/2022 20:25,GEHA Field at Arrowhead Stadium,Kansas City Chiefs,Buffalo Bills,
82,6,17/10/2022 00:20,Lincoln Financial Field,Philadelphia Eagles,Dallas Cowboys,
81,6,18/10/2022 00:15,SoFi Stadium,Los Angeles Chargers,Denver Broncos,
108,7,21/10/2022 00:15,State Farm Stadium,Arizona Cardinals,New Orleans Saints,
101,7,23/10/2022 17:00,M&T Bank Stadium,Baltimore Ravens,Cleveland Browns,
102,7,23/10/2022 17:00,Bank of America Stadium,Carolina Panthers,Tampa Bay Buccaneers,
103,7,23/10/2022 17:00,Paul Brown Stadium,Cincinnati Bengals,Atlanta Falcons,
104,7,23/10/2022 17:00,AT&T Stadium,Dallas Cowboys,Detroit Lions,
105,7,23/10/2022 17:00,TIAA Bank Field,Jacksonville Jaguars,New York Giants,
106,7,23/10/2022 17:00,Nissan Stadium,Tennessee Titans,Indianapolis Colts,
107,7,23/10/2022 17:00,FedExField,Washington Commanders,Green Bay Packers,
99,7,23/10/2022 20:05,Empower Field at Mile High,Denver Broncos,New York Jets,
100,7,23/10/2022 20:05,Allegiant Stadium,Las Vegas Raiders,Houston Texans,
97,7,23/10/2022 20:25,SoFi Stadium,Los Angeles Chargers,Seattle Seahawks,
98,7,23/10/2022 20:25,Levi's Stadium,San Francisco 49ers,Kansas City Chiefs,
96,7,24/10/2022 00:20,Hard Rock Stadium,Miami Dolphins,Pittsburgh Steelers,
95,7,25/10/2022 00:15,Gillette Stadium,New England Patriots,Chicago Bears,
123,8,28/10/2022 00:15,Raymond James Stadium,Tampa Bay Buccaneers,Baltimore Ravens,
122,8,30/10/2022 13:30,Wembley Stadium,Jacksonville Jaguars,Denver Broncos,
115,8,30/10/2022 17:00,Mercedes-Benz Stadium,Atlanta Falcons,Carolina Panthers,
116,8,30/10/2022 17:00,AT&T Stadium,Dallas Cowboys,Chicago Bears,
117,8,30/10/2022 17:00,Ford Field,Detroit Lions,Miami Dolphins,
118,8,30/10/2022 17:00,U.S. Bank Stadium,Minnesota Vikings,Arizona Cardinals,
119,8,30/10/2022 17:00,Caesars Superdome,New Orleans Saints,Las Vegas Raiders,
120,8,30/10/2022 17:00,MetLife Stadium,New York Jets,New England Patriots,
121,8,30/10/2022 17:00,Lincoln Financial Field,Philadelphia Eagles,Pittsburgh Steelers,
114,8,30/10/2022 20:05,NRG Stadium,Houston Texans,Tennessee Titans,
111,8,30/10/2022 20:25,Lucas Oil Stadium,Indianapolis Colts,Washington Commanders,
112,8,30/10/2022 20:25,SoFi Stadium,Los Angeles Rams,San Francisco 49ers,
113,8,30/10/2022 20:25,Lumen Field,Seattle Seahawks,New York Giants,
110,8,31/10/2022 00:20,Highmark Stadium,Buffalo Bills,Green Bay Packers,
109,8,01/11/2022 00:15,FirstEnergy Stadium,Cleveland Browns,Cincinnati Bengals,
136,9,04/11/2022 00:15,NRG Stadium,Houston Texans,Philadelphia Eagles,
128,9,06/11/2022 18:00,Mercedes-Benz Stadium,Atlanta Falcons,Los Angeles Chargers,
129,9,06/11/2022 18:00,Soldier Field,Chicago Bears,Miami Dolphins,
130,9,06/11/2022 18:00,Paul Brown Stadium,Cincinnati Bengals,Carolina Panthers,
131,9,06/11/2022 18:00,Ford Field,Detroit Lions,Green Bay Packers,
132,9,06/11/2022 18:00,TIAA Bank Field,Jacksonville Jaguars,Las Vegas Raiders,
133,9,06/11/2022 18:00,Gillette Stadium,New England Patriots,Indianapolis Colts,
134,9,06/11/2022 18:00,MetLife Stadium,New York Jets,Buffalo Bills,
135,9,06/11/2022 18:00,FedExField,Washington Commanders,Minnesota Vikings,
127,9,06/11/2022 21:05,State Farm Stadium,Arizona Cardinals,Seattle Seahawks,
126,9,06/11/2022 21:25,Raymond James Stadium,Tampa Bay Buccaneers,Los Angeles Rams,
125,9,07/11/2022 01:20,GEHA Field at Arrowhead Stadium,Kansas City Chiefs,Tennessee Titans,
124,9,08/11/2022 01:15,Caesars Superdome,New Orleans Saints,Baltimore Ravens,
150,10,11/11/2022 01:15,Bank of America Stadium,Carolina Panthers,Atlanta Falcons,
149,10,13/11/2022 14:30,Allianz Arena,Tampa Bay Buccaneers,Seattle Seahawks,
142,10,13/11/2022 18:00,Highmark Stadium,Buffalo Bills,Minnesota Vikings,
143,10,13/11/2022 18:00,Soldier Field,Chicago Bears,Detroit Lions,
144,10,13/11/2022 18:00,GEHA Field at Arrowhead Stadium,Kansas City Chiefs,Jacksonville Jaguars,
145,10,13/11/2022 18:00,Hard Rock Stadium,Miami Dolphins,Cleveland Browns,
146,10,13/11/2022 18:00,MetLife Stadium,New York Giants,Houston Texans,
147,10,13/11/2022 18:00,Acrisure Stadium,Pittsburgh Steelers,New Orleans Saints,
148,10,13/11/2022 18:00,Nissan Stadium,Tennessee Titans,Denver Broncos,
141,10,13/11/2022 21:05,Allegiant Stadium,Las Vegas Raiders,Indianapolis Colts,
139,10,13/11/2022 21:25,Lambeau Field,Green Bay Packers,Dallas Cowboys,
